obs	    X	            Y
1981	 4862.400	 1175.790
1982	 5294.700	 1212.330
1983	 5934.500	 1366.950
1984	 7171.000	 1642.860
1985	 8964.400	 2004.820
1986	 10202.20	 2122.010
1987	 11962.50	 2199.350
1988	 14928.30	 2357.240
1989	 16909.20	 2664.900
1990	 18547.90	 2937.100
1991	 21617.80	 3149.480
1992	 26638.10	 3483.370
1993	 34634.40	 4348.950
1994	 46759.40	 5218.100
1995	 58478.10	 6242.200
1996	 67884.60	 7407.990
1997	 74462.60	 8651.140
1998	 78345.20	 9875.950
1999	 81910.90	 11444.08
2000	 89404.00	 13380.00
2001	 95933.30	 16371.00
