地点,标题,岗位标签,岗位福利,公司规模,公司名称,经验,融资情况,薪资,学历,所属行业
北京,【外卖】产品运营-数据分析方向,数据,发展空间大,2000人以上,美团点评,经验3-5年,上市公司,15k-30k,本科及以上,消费生活
北京,【外卖配送】数据分析专家,数据分析,大平台，团队氛围好,2000人以上,美团点评,经验5-10年,上市公司,15k-25k,本科及以上,消费生活
北京,09216M-数据分析师,"互联网金融,保险","五险一金,节日福利,定期体检,年底双薪",500-2000人,平安健康保险,经验3-5年,未融资,15k-20k,本科及以上,金融
北京,23048-数据分析师,"数据挖掘,数据分析","大平台,新领域,大咖多",2000人以上,腾讯,经验3-5年,上市公司,18k-36k,本科及以上,社交
北京,BI-数据分析高级专家10653,"电商,新零售","弹性工作,股票期权,空间大",,车好多集团,经验5-10年,D轮及以上,25k-50k,本科及以上,消费生活
北京,BI数据分析师/数据分析专家...,"新零售,汽车,BI,可视化,数据分析,SQL","奖金多,股票期权,团队好,领导好",,车好多集团,经验3-5年,D轮及以上,25k-50k,本科及以上,消费生活
北京,Senior Data Analyst,"大数据,移动互联网,数据分析,SQL,数据库","国际化团队,工程师文化 移动应用",150-500人,AppAnnie,经验3-5年,D轮及以上,15k-30k,本科及以上,移动互联网
北京,财新收费板块数据分析师,数据分析,五险一金，补充医疗，餐补，交通补贴,150-500人,财新传媒,经验5-10年,A轮,20k-40k,本科及以上,文娱丨内容
北京,产品运营-数据分析方向,数据分析,"六险一金,绩效奖金,节日福利,按摩椅",150-500人,北京智胜新格科技有限...,经验1-3年,不需要融资,8k-15k,本科及以上,"移动互联网,游戏"
北京,初级数据分析师,"教育,BI,SQL",带薪病假 不打卡 提供三餐,,洋葱数学,经验1-3年,D轮及以上,7k-13k,本科及以上,教育
北京,初级数据分析师,"游戏,BI,数据分析,商业,SQL",游戏出海 行业前三 国际化团队,150-500人,Magic Tavern,经验不限,不需要融资,12k-18k,本科及以上,游戏
北京,大数据分析师,大数据,五险一金 带薪年假,500-2000人,Synnex China,经验3-5年,上市公司,15k-25k,本科及以上,电商
北京,大数据分析师,"教育,算法,数据挖掘,数据分析","发展空间大,待遇高,各种补贴",150-500人,泛钛客,经验不限,A轮,10k-20k,本科及以上,"金融,数据服务"
北京,大数据分析师,数据分析,福利前景好,2000人以上,建信金科,经验5-10年,不需要融资,30k-40k,硕士及以上,"金融,不限"
北京,大数据分析师,数据分析,五险一金 带薪年假 领导好,150-500人,赛思股份,经验5-10年,上市公司,25k-30k,学历不限,数据服务
北京,大数据分析师（自然语言处理...,"金融,NLP,算法,数据分析","发展空间大,待遇高,各种补贴",150-500人,泛钛客,经验不限,A轮,10k-20k,本科及以上,"金融,数据服务"
北京,大数据研发工程师-大数据分...,"算法,搜索,数据挖掘,数据分析","团队稳定,周末双休,薪资待遇好",,有利网,经验3-5年,不需要融资,18k-35k,本科及以上,金融
北京,风险计量部-数据分析师,数据分析,六险一金 带薪年假 节日福利,500-2000人,贝壳金服,经验不限,未融资,15k-30k,本科及以上,金融
北京,服务体验部-资深数据分析师,"SQL,商业",稳定平台大发展,2000人以上,美团点评,经验3-5年,上市公司,15k-24k,本科及以上,消费生活
北京,高级/资深数据分析师,数据分析,"六险一金,扁平化管理,朝阳行业",,同程艺龙,经验3-5年,上市公司,15k-30k,本科及以上,旅游
北京,高级数据产品经理/数据分析,"大数据,数据分析","上市公司,年终奖金,七险一金",2000人以上,好未来,经验5-10年,上市公司,18k-35k,本科及以上,教育
北京,高级数据分析,数据,大平台，发展空间大,2000人以上,美团点评,经验3-5年,上市公司,10k-20k,本科及以上,消费生活
北京,高级数据分析工程师(J12372),"数据挖掘,数据仓库,数据分析,Hadoop",七险一金，三餐免费，交通补助，节假福利,,作业帮,经验不限,D轮及以上,28k-55k,本科及以上,工具
北京,高级数据分析师,SQL,成长空间大，三餐免费，七险一金,,探探,经验3-5年,D轮及以上,20k-40k,本科及以上,"移动互联网,社交"
北京,高级数据分析师,"保险,增长黑客,数据分析,可视化,数据运营",五险一金、餐补、交通补、补充医疗、氛围好,2000人以上,阳光保险集团,经验3-5年,不需要融资,15k-25k,硕士及以上,金融
北京,高级数据分析师,大数据,全额社保；商业保险；各种补贴；下午茶等,150-500人,绿湾科技,经验3-5年,B轮,20k-35k,学历不限,"企业服务,数据服务"
北京,高级数据分析师,"大数据,房产服务,数据分析,MySQL","六险二金,免费三餐,带薪年假,十六薪",2000人以上,贝壳,经验5-10年,D轮及以上,20k-40k,本科及以上,房产家居
