城市名称,标题,地点,岗位标签,岗位福利,公司规模,公司名称,融资情况,经验,所属行业,薪资,学历
北京,【B612】数据挖掘,北京,"Java,数据分析,Scala,算法","技术氛围,技术分享,福利多多,全球业务",50-150人,咚漫,A轮,经验1-3年,"文娱丨内容,其他",10k-20k,本科及以上
北京,AI Lab-数据挖掘算法工程师,北京,"搜索,推荐,数据挖掘,人工智能",六险一金、年底双薪。提供晚餐、弹性工作,2000人以上,好未来,上市公司,经验3-5年,教育,20k-40k,硕士及以上
北京,LBS-数据挖掘工程师,北京,后端开发,平台大 发展空间,2000人以上,美团点评,上市公司,经验5-10年,消费生活,35k-60k,本科及以上
北京,安全数据挖掘负责人,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验不限,文娱丨内容,40k-70k,本科及以上
北京,安全数据挖掘工程师,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验3-5年,文娱丨内容,30k-50k,本科及以上
北京,安全数据挖掘实习生（可转正）,北京,数据挖掘,弹性工作，免费三餐，租房补贴，休闲下午茶,2000人以上,字节跳动,C轮,经验应届毕业生,文娱丨内容,4k-6k,本科及以上
北京,北京-机器学习数据挖掘自...,北京,"机器学习,数据挖掘",公司规模大 上市公司,2000人以上,百度,不需要融资,经验应届毕业生,工具,18k-25k,本科及以上
北京,大数据机器学习数据挖掘高...,北京,"机器学习,数据挖掘",大平台、发展空间大,2000人以上,百度,不需要融资,经验3-5年,工具,25k-50k,本科及以上
北京,大数据数据挖掘算法工程师,北京,"大数据,云计算,算法,数据挖掘",五险一金、期权奖励、各项补贴等,50-150人,盈嘉互联,不需要融资,经验3-5年,"移动互联网,企业服务",15k-30k,本科及以上
北京,大数据挖掘工程师,北京,"移动互联网,大数据,数据挖掘","福利好,环境佳,网文大佬,互联网平台",500-2000人,阅文集团,上市公司,经验5-10年,文娱丨内容,30k-50k,本科及以上
北京,大数据挖掘技术专家-核心广...,北京,数据挖掘,六险一金，免费三餐，租房补贴，扁平管理,2000人以上,字节跳动,C轮,经验3-5年,文娱丨内容,38k-65k,本科及以上
北京,大数据挖掘算法工程师,北京,"电商,移动互联网,数据挖掘,算法",平台大 发展好,2000人以上,京东集团,上市公司,经验3-5年,电商,20k-40k,本科及以上
北京,反作弊数据挖掘工程师,北京,数据挖掘,六险一金，弹性工作，免费三餐，租房补贴,2000人以上,字节跳动,C轮,经验1-3年,文娱丨内容,20k-40k,本科及以上
