单词,数量,城市,,,,,
Abtest,3,杭州,,,,,
Access,3,北京,,,,,
Agency,3,上海,,,,,
Ai,3,上海,,,,,
Analysis,3,杭州,,,,,
Appstore,3,北京,,,,,
Axure,3,广州,,,,,
Bat,3,北京,,,,,
Bat,3,广州,,,,,
Caffe,3,广州,,,,,
Change,3,上海,,,,,
Cleaning,3,上海,,,,,
Cn,3,北京,,,,,
Coe,3,北京,,,,,
Collecting,3,上海,,,,,
Common,3,上海,,,,,
Communication,3,上海,,,,,
Coursera,3,北京,,,,,
Creditfengkong,3,北京,,,,,
Dashboard,3,上海,,,,,
Datacamp,3,北京,,,,,
Db,3,广州,,,,,
Db,3,上海,,,,,
Develop,3,上海,,,,,
Development,3,杭州,,,,,
Digital,3,上海,,,,,
Dt,3,北京,,,,,
Each,3,广州,,,,,
Erp,3,上海,,,,,
Etc,3,北京,,,,,
Excel,3,西安,,,,,
External,3,上海,,,,,
Finance,3,北京,,,,,
Finebi,3,上海,,,,,
Flink,3,北京,,,,,
Flink,3,上海,,,,,
Flume,3,广州,,,,,
For,3,北京,,,,,
Functional,3,上海,,,,,
G,3,上海,,,,,
Ga,3,北京,,,,,
Gbdt,3,广州,,,,,
Gmv,3,上海,,,,,
Greenplum,3,上海,,,,,
Hadoop,3,成都,,,,,
Hive,3,广州,,,,,
Holla,3,北京,,,,,
How,3,上海,,,,,
Hql,3,北京,,,,,
Hql,3,广州,,,,,
Hypothesis,3,上海,,,,,
Ikea,3,上海,,,,,
Impala,3,上海,,,,,
Initiatives,3,上海,,,,,
Introduction,3,北京,,,,,
Issues,3,上海,,,,,
Java,3,广州,,,,,
Js,3,广州,,,,,
Kafka,3,上海,,,,,
Kaggle,3,北京,,,,,
Knn,3,北京,,,,,
Knowledge,3,上海,,,,,
Kpi,3,杭州,,,,,
Lab,3,上海,,,,,
Large,3,上海,,,,,
Linux,3,上海,,,,,
Lr,3,广州,,,,,
Mahout,3,北京,,,,,
Map,3,广州,,,,,
Matlab,3,广州,,,,,
Matlab,3,杭州,,,,,
Ms,3,北京,,,,,
Mysql,3,北京,,,,,
Mysql,3,杭州,,,,,
Mysql,3,上海,,,,,
Nosql,3,广州,,,,,
Nosql,3,上海,,,,,
Numpy,3,北京,,,,,
Numpy,3,广州,,,,,
Office,3,杭州,,,,,
Office,3,上海,,,,,
Operation,3,上海,,,,,
Pandas,3,北京,,,,,
Pandas,3,广州,,,,,
Perl,3,北京,,,,,
Perl,3,广州,,,,,
Php,3,北京,,,,,
Pl,3,广州,,,,,
Postgresql,3,北京,,,,,
Powerpoint,3,北京,,,,,
Ppt,3,杭州,,,,,
Preferred,3,北京,,,,,
Process,3,上海,,,,,
Processes,3,杭州,,,,,
Processing,3,上海,,,,,
Product,3,上海,,,,,
Python,3,成都,,,,,
Quality,3,上海,,,,,
Questions,3,上海,,,,,
R,3,上海,,,,,
Reduce,3,广州,,,,,
Regressions,3,上海,,,,,
Required,3,上海,,,,,
Retail,3,广州,,,,,
Roadmap,3,北京,,,,,
Roadmap,3,上海,,,,,
Safaribook,3,北京,,,,,
Salary,3,上海,,,,,
Science,3,上海,,,,,
Seo,3,上海,,,,,
Server,3,北京,,,,,
Server,3,广州,,,,,
Server,3,上海,,,,,
Shein,3,广州,,,,,
Shell,3,北京,,,,,
Shell,3,杭州,,,,,
Shell,3,上海,,,,,
Sklearn,3,上海,,,,,
Software,3,上海,,,,,
Spark,3,西安,,,,,
Spark,3,武汉,,,,,
Spark,3,成都,,,,,
Spark,3,杭州,,,,,
Spss,3,北京,,,,,
Spss,3,广州,,,,,
Sql,3,广州,,,,,
Sql,3,上海,,,,,
Sqoop,3,广州,,,,,
Stata,3,上海,,,,,
Storm,3,上海,,,,,
Tableau,3,武汉,,,,,
Tableau,3,杭州,,,,,
Take,3,广州,,,,,
Team,3,广州,,,,,
Team,3,杭州,,,,,
Visualisation,3,上海,,,,,
Word,3,广州,,,,,
Word,3,上海,,,,,
Word,3,上海,,,,,
Ab,4,广州,,,,,
Acg,4,北京,,,,,
Actions,4,上海,,,,,
Analysis,4,北京,,,,,
Com,4,上海,,,,,
Data,4,上海,,,,,
Dw,4,上海,,,,,
Excel,4,成都,,,,,
Experience,4,上海,,,,,
Hadoop,4,成都,,,,,
Hbase,4,北京,,,,,
Hbase,4,杭州,,,,,
Hive,4,成都,,,,,
Hive,4,杭州,,,,,
Hive,4,上海,,,,,
Hql,4,上海,,,,,
Hsql,4,广州,,,,,
Improve,4,上海,,,,,
Insights,4,广州,,,,,
Java,4,杭州,,,,,
Knn,4,上海,,,,,
Linux,4,上海,,,,,
Lr,4,北京,,,,,
Mac,4,北京,,,,,
Marketing,4,上海,,,,,
Matlab,4,北京,,,,,
Matlab,4,北京,,,,,
Matlab,4,上海,,,,,
Mdm,4,北京,,,,,
Means,4,上海,,,,,
Minitab,4,北京,,,,,
Mongodb,4,上海,,,,,
Mysql,4,上海,,,,,
Mysql,4,上海,,,,,
Nlp,4,北京,,,,,
O,4,上海,,,,,
Operational,4,上海,,,,,
Oracle,4,北京,,,,,
Pandas,4,上海,,,,,
Php,4,上海,,,,,
Powerpoint,4,广州,,,,,
Ppt,4,武汉,,,,,
Ppt,4,广州,,,,,
Pv,4,广州,,,,,
Python,4,西安,,,,,
Python,4,北京,,,,,
Qq,4,广州,,,,,
Retail,4,广州,,,,,
Secure,4,上海,,,,,
Sense,4,上海,,,,,
Shein,4,广州,,,,,
Shell,4,广州,,,,,
Skills,4,上海,,,,,
Sklearn,4,北京,,,,,
Strong,4,上海,,,,,
Sumif,4,上海,,,,,
Take,4,上海,,,,,
Tensorflow,4,广州,,,,,
Tensorflow,4,上海,,,,,
Testing,4,上海,,,,,
Tools,4,上海,,,,,
Unix,4,广州,,,,,
Uv,4,广州,,,,,
Vlookup,4,上海,,,,,
Word,4,广州,,,,,
Xgboost,4,上海,,,,,
You,4,上海,,,,,
Ability,5,上海,,,,,
Analysis,5,广州,,,,,
Analysis,5,上海,,,,,
Api,5,上海,,,,,
Arpu,5,广州,,,,,
Bcg,5,广州,,,,,
Bi,5,武汉,,,,,
Data,5,广州,,,,,
Erp,5,杭州,,,,,
Excel,5,成都,,,,,
From,5,上海,,,,,
Gbdt,5,北京,,,,,
Gbdt,5,上海,,,,,
Growingio,5,北京,,,,,
Hacking,5,广州,,,,,
Hadoop,5,杭州,,,,,
Hive,5,武汉,,,,,
Html,5,杭州,,,,,
Ishumei,5,杭州,,,,,
K,5,上海,,,,,
Kettle,5,上海,,,,,
Mapreduce,5,北京,,,,,
Mongodb,5,北京,,,,,
Mysql,5,杭州,,,,,
Office,5,北京,,,,,
Office,5,广州,,,,,
Office,5,广州,,,,,
Online,5,上海,,,,,
Our,5,广州,,,,,
Owner,5,北京,,,,,
P,5,北京,,,,,
Pandas,5,广州,,,,,
Powerbi,5,上海,,,,,
Presto,5,上海,,,,,
Processes,5,上海,,,,,
Product,5,北京,,,,,
Scala,5,广州,,,,,
Spss,5,北京,,,,,
Spss,5,成都,,,,,
Spss,5,上海,,,,,
Stakeholders,5,上海,,,,,
Storm,5,广州,,,,,
Svm,5,北京,,,,,
Tableau,5,杭州,,,,,
Tensorflow,5,上海,,,,,
Through,5,上海,,,,,
Udesk,5,北京,,,,,
Understand,5,上海,,,,,
Vba,5,北京,,,,,
Word,5,北京,,,,,
Yimba,5,广州,,,,,
Ab,6,上海,,,,,
Aboutus,6,北京,,,,,
Ai,6,北京,,,,,
Ai,6,广州,,,,,
App,6,上海,,,,,
As,6,上海,,,,,
Bi,6,成都,,,,,
C,6,北京,,,,,
C,6,上海,,,,,
Com,6,杭州,,,,,
Crm,6,上海,,,,,
Erp,6,北京,,,,,
Erp,6,广州,,,,,
Experience,6,上海,,,,,
Finsight,6,北京,,,,,
For,6,广州,,,,,
Have,6,上海,,,,,
Java,6,北京,,,,,
Java,6,广州,,,,,
Kol,6,北京,,,,,
Mdm,6,广州,,,,,
Mysql,6,杭州,,,,,
Oracle,6,成都,,,,,
Other,6,上海,,,,,
Pacer,6,北京,,,,,
Powerbi,6,北京,,,,,
Ppt,6,北京,,,,,
Ppt,6,成都,,,,,
