标题,薪资,地点,经验,学历,岗位标签,岗位福利,公司名称,所属行业,融资情况,公司规模,公司规模1,SQL,PYTHON,R,EXCEL,SAS,HIVE,SPSS,PPT,BI,HADOOP,TABLEAU,SPARK,MYSQL,JAVA,ORACLE,LINUX,OFFICE,MATLAB,SVM,ERP,SCALA,PANDAS,NLP,TENSORFLOW,INSIGHTS,POWERBI,MONGODB,GEKKO,HBASE
Senior Data Analyst,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"大数据,移动互联网,数据分析,SQL,数据库","国际化团队,工程师文化 移动应用",AppAnnie,移动互联网,D轮及以上,150-500人,150-500人,T,T,F,F,F,F,F,F,T,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,T,F,F,F,F
数据分析师,15k-20k,北京 ,经验3-5年 ,本科及以上 ,"本地生活,数据分析,数据运营,SQL,BI",餐补，话补，交通补，全额公积金，带薪病假,北京合生活网络科技有限公司,消费生活,不需要融资,150-500人,150-500人,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-25k,北京 ,经验3-5年 ,本科及以上 ,"社交,移动互联网,数据分析,SQL",七险一金、弹性不打卡、免费午餐、季度旅游,玩吧,社交,B轮,150-500人,150-500人,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,20k-40k,北京 ,经验1-3年 ,硕士及以上 ,"SQL,可视化,数据分析,增长黑客",硅谷技术，多元数据，股票期权,轻趣,移动互联网,天使轮,华创资本(天使轮),,T,T,F,F,F,T,F,F,F,T,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析,15k-30k,北京 ,经验3-5年 ,本科及以上 ,"移动互联网,数据分析","年底奖金,硅谷文化,技术成长",大众问问,"移动互联网,硬件",不需要融资,大众汽车集团（中国）(D轮及以上),,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F
数据分析师,14k-25k,北京 ,经验1-3年 ,本科及以上 ,"互联网金融,MySQL,数据分析",福利待遇好、团队气氛好、上升空间大,花生米富,"移动互联网,金融",B轮,梅花创投(天使轮)，戈壁创投等(天使轮),,T,T,T,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师（融资）,8k-13k,北京 ,经验1-3年 ,本科及以上 ,"金融,SQL,数据库,数据分析,数据运营",五险一金、带薪年假、晋升空间、大平台,有利网,金融,不需要融资,晨兴资本(B轮)，软银中国(A轮)，高瓴资本(C轮),,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师(J10086),10k-15k,北京 ,经验1-3年 ,本科及以上 ,"BI,SQL,数据分析",成长速度快，行业独角兽，上市倒计时,斗米,"移动互联网,消费生活",B轮,高榕资本(A轮)，五八赶集集团(A轮)，蓝湖资本(A轮),,T,F,F,T,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析师,15k-20k,北京 ,经验3-5年 ,本科及以上 ,"BI,数据分析,SQL",大平台 发展快 带薪旅游 体检,居理新房,移动互联网,B轮,祥峰投资(B轮)，源码资本(A轮)，k2vc(天使轮),,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
数据分析工程师,15k-30k,北京 ,经验1-3年 ,本科及以上 ,数据分析,十四薪；午餐晚餐；六险一金；地铁周边；,洋钱罐,"移动互联网,金融",不需要融资,昆仑万维领投（3.1亿人民币国内最大天使融资）(天使轮),,T,T,T,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
